gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	lfqeae5	lfqeae6	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
Mtx3	27.8324957398514	27.5920637012127	28.9587281512663	28.5597953646352	28.6327363872598	27.7993415096179	27.8902372756735	27.6383063113656	27.231142939933	27.1332024304938	26.6832465150118	28.3151638688451	27.3959128303493	-0.919251038495794	0.0215769448223941	0.0812707371761554	3.62112020931258	0	0
Akap5	24.3862708974879	23.4617641931802	24.5953685848559	24.3404162709489	24.5394906365853	24.8897152430869	24.5878933164612	24.7421659088705	24.7215585879923	24.76936047163	25.1174747485702	24.2646621166116	24.8046947127685	0.540032596156877	0.056552914856068	0.153996016836313	2.69903505932313	0	0
Ankrd29	26.2424903045545	25.724501987488	24.4681810272162	24.4415177156285	24.6440543001857	24.7468878151015	24.5434491364269	24.9328754196278	25.2562351840185	24.7753514669217	25.1469753732359	25.1041490670146	24.9002957325554	-0.203853334459168	0.620998780850515	0.745286072625925	0.4241337950311	0	0
Safb/Safb2	24.2722020456279	23.8867883646754	24.1796479374114	24.2060538868937	24.0779794118308	23.9825055345494	24.5739813422292	24.7097771457223	25.2887334574865	25.1169594224707	25.4873233840069	24.1245343292879	24.8598800477442	0.735345718456312	0.020842365873056	0.0797571036145679	3.64824317067015	0	0
Mthfd2l	26.1357484211813	25.7488080803136	26.6840495737805	26.1905773543181	26.145285227026	26.0660975688121	26.0316631789166	25.756030950107	25.5979843268472	25.363793083651	25.2783836635247	26.1808937313239	25.6823254619764	-0.498568269347466	0.0360231148952193	0.115687630228092	3.11169348076717	0	1
Shank1	26.0090465853314	25.3618203842368	25.7210370062654	25.7497289005401	25.8333767455377	25.1096856150306	25.7532022603152	25.3712249483195	25.1861248212337	25.1941520624989	25.5512750193701	25.7350019243823	25.360944121128	-0.374057803254303	0.0320213072023785	0.106034533388913	3.23739389580494	0	0
Tmed7	26.7327272254179	27.4620139240171	27.1992916209516	26.9980883507539	27.145693374677	27.8854739844503	28.3755895383239	27.9019045823663	28.0431737564723	28.414739422554	29.0799688836694	27.1075628991635	28.2834750279727	1.17591212880922	0.000619687988890779	0.00663285567396246	7.23615415042315	1	0
Tmppe	23.868630421726	24.5115331023865	22.6202936512528	22.4989875814625	23.1753134988603	24.0407619469632	23.7665830953457	23.9312078504722	24.0688261581857	24.0586239950506	23.9099472705169	23.3349516511376	23.9626583860891	0.627706734951428	0.175331520298719	0.326895878956946	1.61309690513566	0	0
Tpm3-rs7	27.6403076106838	28.1893335378956	27.1279002035899	27.8218328463453	27.4279030827413	27.7904820400035	27.7514921648848	28.1321729669574	28.4296997392671	28.0851712654646	28.5162680547884	27.6414554562512	28.1175477052276	0.476092248976457	0.0649321920361311	0.168532433467329	2.56890183523248	0	0
Ptrhd1	24.9617722032706	24.7208283207639	24.9160667800397	25.0425163900007	24.951715142436	24.7341237073633	24.5333245036524	24.6013890524069	24.6608494153516	24.4475837163278	24.6987466274434	24.9185797673022	24.6126695037576	-0.30591026354459	0.00210771845826688	0.0158243918253773	5.98170613576867	0	0
Gls	32.6167772712352	32.0487571047209	33.1210225253745	32.8846373337053	32.5917427813936	32.4159383479375	32.6441385576528	32.2101051441801	31.8496118605461	32.0201249513651	31.6795517096261	32.6525874032859	32.1365784285513	-0.516008974734618	0.0557108782329072	0.152749760906566	2.71075797303767	0	1
Smim20	25.4460064831535	24.495275844582	26.4215930935951	25.6525036506839	26.0580046088163	25.2475694554458	25.3335402841166	25.6534333455928	25.4084038632592	25.5735480354109	24.896660194115	25.6146767361662	25.3521925296567	-0.262484206509466	0.48093862114501	0.633201260322735	0.659263967871601	0	1
Acad12/Acad10	26.5916357922548	26.5376998382907	27.2420904696935	27.6211472948335	27.1487992855448	26.6242189393597	26.7581170566151	26.7581170566151	26.8057507591276	26.6441643497712	27.1088884358193	27.0282745361235	26.7832094328847	-0.245065103238808	0.311017984375979	0.471188883280622	1.08562259269927	0	0
Dnajc13	24.8221611779263	24.8625896878356	24.6962544218463	24.1439822692471	24.7160725522537	27.2304101424362	26.6857880024593	27.8840768701507	28.04541489732	27.9668625567969	28.8774512928041	24.6482120218218	27.7816672936612	3.13345527183939	0.0000424915123956327	0.000950676770664955	10.0387574702451	1	0
Prrt2	29.4417393204759	29.595909181164	29.0063522765038	28.7346341202889	28.9488224082931	28.8298676316975	28.9953680878552	28.8143338757973	28.9904261905509	28.7063556289253	28.8414016645273	29.1454914613451	28.8629588465589	-0.282532614786223	0.156303856402384	0.303914103178679	1.71826446999806	0	0
Fga	23.3702366516073	21.2060049688529	23.4604904828887	21.7929482817479	22.7100488108517	26.7294894327736	27.6510258439229	27.979891955862	27.4054366383678	27.1089881073134	27.9328078529465	22.5079458391897	27.4679399718644	4.95999413267467	0.0000770635216438418	0.00141325234227723	9.4667651965922	1	0
I830012O16Rik/Ifit3	22.8754229901049	22.8415554420014	24.0103405271425	23.1427551760585	21.8816445781503	25.8238867300116	25.3260141144116	25.8821069702166	25.6024089052057	25.6820946840092	25.384427534038	22.9503437426915	25.6168231563154	2.66647941362393	0.000931856981153247	0.00890972087963047	6.81040404841213	1	0
Golgb1	25.8624714525573	25.9441595892316	27.9524374205991	27.0394656309888	27.0193496170326	27.1036960062022	26.8164106631236	27.9536589143181	25.6817998817929	26.1437682383019	26.1598870388292	26.7635767420819	26.6432034570947	-0.120373284987245	0.820415593979278	0.88990791549061	0.16827203604228	0	0
Sptbn4	29.2377897896678	28.8197943031415	28.4026747213424	28.2485288566891	28.686623040418	28.8851539319033	28.9265724866924	28.8467309028962	28.164133399053	28.2240742663062	28.2025179250339	28.6790821422517	28.5415304853142	-0.137551656937578	0.567783621442277	0.705211633441999	0.503871820781385	0	0
Pcdh17	23.7797658362768	27.9605796559832	27.9036293315646	27.2673162036239	26.7756779906926	27.9403893270403	27.7452215152821	28.0025481650429	27.2560191739802	27.4999047514579	26.6072433849253	26.7373938036282	27.5085543862881	0.771160582659917	0.38274401494886	0.544587132950289	0.876765198895859	0	0
Sbf2	25.3861722055606	25.4742599816917	25.5291891270893	25.8160932304122	25.945231809796	25.3300557593431	26.5169067229679	26.0079780172732	25.7417031522912	26.2282278664547	26.3535492108845	25.6301892709099	26.0297367882024	0.399547517292504	0.0910684777531589	0.212831344944012	2.23221745408058	0	0
Adap1	25.636025588653	25.5175225820927	26.0407201484947	25.9466378910418	25.4769809984783	25.3058082130965	25.0289265350873	25.1487605028988	25.2648491714414	25.4270079122755	25.376931110403	25.7235774417521	25.2587139075337	-0.464863534218377	0.0109145073031143	0.0505228779437954	4.3069193678111	0	0
Gm10036/Rpl11	26.5384105036372	25.466626164219	27.1905585166133	27.1308482906608	27.5951978281389	27.937361516671	27.8240810291033	28.2893404802061	29.1247489230668	29.1968085366629	28.5990349742815	26.7843282606539	28.4952292433319	1.71090098267808	0.00593908824502299	0.0326747215578642	4.93568124782594	1	0
Igsf9b	23.5882937393454	23.3504331467145	23.1060069479572	23.9338176130844	23.5079697721643	23.3165853762308	23.597757059197	23.3540707044247	23.6945551342048	23.9496685768267	22.805775355202	23.4973042438532	23.4530687010143	-0.0442355428388268	0.838508637434395	0.900719146635885	0.150850765673826	0	0
Gm20390/Nme2	28.2272456825226	28.3279164679863	28.4075451306522	27.8909909894178	27.6383753679217	28.2947396464434	28.3303550071488	28.3968900829047	28.7570362194363	28.988341742401	28.5258558455982	28.0984147277001	28.5488697573221	0.450455029621953	0.039300497354295	0.122919356123965	3.02421597994763	0	0
Chd2/Chd1	29.1148317544568	28.9583962874334	29.9891542232039	29.2440658470283	29.5518433885119	30.2409312311332	30.4290212653014	27.5931329186639	28.1077915946669	28.8701484226921	28.1559079586838	29.3716583001269	28.8994888985235	-0.472169401603342	0.394586055217112	0.555699035379198	0.847624358926575	0	0
