gene	lfqctrl1	lfqctrl2	lfqctrl3	lfqctrl4	lfqctrl5	lfqeae1	lfqeae2	lfqeae3	lfqeae4	validation	mean_log2lfqctrl	mean_log2lfqeae	log2fc	p	q	neglogq	enriched	mitocarta
F3	26.81689835	26.3591404	26.63533401	26.18048286	26.55885506	26.93606949	26.72806168	26.68925858	26.99264336	1	26.510142136	26.8365082775	0.326366141500003	0.0462025068519739	0.639008441761453	0.646093104549304	0	0
Dpysl5	30.61267471	30.67092705	30.34011078	30.37777328	30.46999931	29.84743309	30.02267265	30.50729752	30.19184113	1	30.494297026	30.1423110975	-0.3519859285	0.0811118508121593	0.717428491676623	0.479093053823387	0	0
Ppap2b	28.29362106	28.42137718	28.30016327	28.03904724	27.96691704	28.7378273	28.14571762	28.77740288	28.87835884	1	28.204225158	28.63482666	0.430601502000002	0.0739531005434613	0.703628445282029	0.50711428769176	0	0
Apoe	29.86049461	29.86691856	29.53426743	29.52896881	29.52987289	31.75308418	30.46270561	29.90820503	30.82198524	1	29.66410446	30.736495015	1.072390555	0.0667806143009784	0.686873513116308	0.541883641842128	0	0
Rftn2	26.94937897	27.33065414	27.14219093	26.68825912	27.12030602	27.32680321	27.16422844	27.42977905	27.4805069	1	27.046157836	27.3503294	0.304171563999997	0.0524808355211585	0.65756928071313	0.604785191850148	0	0
Mpp6	29.82821846	30.09433746	29.93845558	29.73715973	29.16436195	30.59987831	29.69287872	30.43360519	31.05028343	1	29.752506636	30.4441614125	0.691654776500002	0.0876535643622742	0.717428491676623	0.479093053823387	0	0
Rpl9	28.4599247	28.15293884	28.35176086	28.34517479	28.37858963	29.26080513	29.11719894	28.51322174	28.31613731	1	28.337677764	28.80184078	0.464163016000001	0.133947668921171	0.779047167254922	0.360217416273393	0	0
B2m	27.26691437	26.74521446	27.23192024	27.27239799	26.98901939	29.42758369	27.97768402	27.23986244	28.64435387	1	27.10109329	28.322371005	1.221277715	0.076218916884053	0.709228230270361	0.495678132169549	0	0
Eps15	26.21137428	26.33847046	26.26315689	26.11921692	26.29622841	26.61605835	26.20490646	27.37914848	26.70041466	1	26.245689392	26.7251319875	0.4794425955	0.142524644165513	0.79455919467602	0.33177339050008	0	0
Cd38	29.24527931	29.39494896	29.36102676	29.22081566	28.84707451	29.61078453	29.1735878	29.72074318	29.8331604	1	29.21382904	29.5845689775	0.370739937499998	0.0814880390090191	0.717428491676623	0.479093053823387	0	0
Zmpste24	27.19798088	27.39652252	27.27293205	27.23471069	27.14535332	27.85314178	27.44596672	27.66543198	27.3894825	1	27.249499892	27.588505745	0.339005853	0.0421925242816613	0.635007712009581	0.655153981726314	0	0
S100a1	26.19301414	26.92490387	26.67236137	26.11733627	26.33014107	27.19422722	26.6624794	27.34764862	26.78182411	1	26.447551344	26.9965448375	0.548993493499999	0.0452524563489118	0.635007712009581	0.655153981726314	0	0
Snph	30.57731628	30.19448471	30.67505646	30.84852982	30.74631119	30.13209915	30.4231205	30.14053535	30.42036247	1	30.608339692	30.2790293675	-0.3293103245	0.0512211630846175	0.655113195632821	0.610183886453166	0	0
